participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,any_questions,english_first_language,country_of_birth
5739549114f69e00067becd8,filler,19,filler,45,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,9,DO_plausible,46,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,3,PO_implausible,47,No,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,act-pass2,4,active_v1,48,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,45,filler,49,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,act-pass2,10,active_v2,50,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,6,PO_implausible,51,Yes,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,13,DO_implausible,52,Yes,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,9,filler,53,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,37,filler,54,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,5,filler,55,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,18,DO_implausible,56,No,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,35,filler,57,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,17,PO_plausible,58,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,1,DO_plausible,59,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,14,PO_plausible,60,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,4,filler,61,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,act-pass2,2,active_v1,62,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,act-pass2,9,passive_v2,63,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,30,filler,64,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,42,filler,65,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,36,filler,66,No,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,act-pass2,7,passive_v1,67,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,18,filler,68,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,act-pass2,8,passive_v1,69,Yes,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,1,filler,70,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,act-pass2,3,passive_v2,71,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,10,PO_implausible,72,Yes,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,29,filler,73,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,22,filler,74,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,20,PO_plausible,75,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,2,filler,76,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,dopo,2,DO_plausible,77,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,31,filler,78,No,No,2023-05-15 00:47:37,NA,Yes,United States
5739549114f69e00067becd8,filler,14,filler,79,Yes,Yes,2023-05-15 00:47:37,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,filler,16,filler,0,Yes,Yes,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,dopo,8,DO_plausible,1,No,No,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,filler,26,filler,2,No,Yes,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,act-pass2,1,passive_v2,3,Yes,Yes,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,filler,31,filler,4,No,No,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,filler,39,filler,5,No,No,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,filler,24,filler,6,Yes,Yes,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,filler,4,filler,7,Yes,Yes,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,filler,40,filler,8,No,No,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,filler,25,filler,9,No,No,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,filler,2,filler,10,Yes,Yes,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,filler,13,filler,11,Yes,Yes,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,dopo,17,DO_implausible,12,No,Yes,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,act-pass2,11,passive_v1,13,No,No,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,filler,14,filler,14,Yes,Yes,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,act-pass2,7,active_v2,15,No,No,2023-05-15 00:48:07,NA,Yes,United States
63cff40ebc71e5fcdcf3f8dc,filler,38,filler,16,No,No,2023-05-15 00:48:07,NA,Yes,United States
